PUMFID,LFW_400,LFW_410,LFW_420A,LFW_420B,LFW_420C,LFW_440,AFT_P010,AFT_020,AFT_P040,AFT_050,AFT_070,AFT_080,AFT_090,BEF_P140,BEF_P150,BEF_160,DEM_P010,DEM_P030,DEM_P140,GRADAGEP,REG_INST,CERTLEVP,PGMCIPAP,COOP,PREVLEVP,HLOSGRDP,HLOSINTP,STULOANS,OWESLGD,OWEGVIN,SRCFUND,RESP,SCHOLAR,DBTOTGRD,DBTOTINT,DBTALGRD,DBTALINT,LFSTAT,LFCINDP,LFCOCCP,LFWFTPT1,JOBQLEVP,JOBQLGRD,JOBQLINT,JOBINCP,PERSINCP,REG_RESP,VISBMINP,CTZSHIPP,LHOMEP,LFIRSTP,FATHEDP,FATEDGRD,FATEDINT,MOTHEDP,MOTEDGRD,MOTEDINT,DDIS_FL,DTYPERP,DCLASSP,WTPF
28111,1,2,2,2,2,2,2,2,1,1,1,6,2,3,2,5,2,0,1,1,1,2,5,2,6,2,2,2,6,6,3,3,1,2,1,2,1,1,4,2,1,2,2,2,6,5,1,2,1,1,1,6,3,3,6,3,3,1,1,1,10.0873
28113,2,1,2,1,2,2,1,2,1,2,1,6,2,3,1,2,2,0,3,1,4,1,5,2,6,1,2,2,6,6,3,6,1,2,1,2,1,1,3,2,1,0,1,1,6,5,9,1,2,3,3,2,1,1,2,1,1,2,6,0,32.2057
28114,6,6,6,6,6,6,1,2,1,1,1,6,3,3,1,1,1,0,1,1,4,2,4,2,6,2,2,2,6,6,1,6,6,9,9,9,9,3,96,96,6,6,6,6,96,1,4,1,9,3,3,6,3,3,6,3,3,2,6,0,11.0231
28116,6,6,6,6,6,6,1,3,1,1,1,6,1,3,1,1,2,0,3,2,2,3,4,2,2,3,3,1,2,3,3,2,6,6,6,2,3,3,96,96,6,6,6,6,96,3,2,1,1,3,3,4,1,1,5,1,1,2,6,0,16.1977
28117,1,2,1,2,1,2,2,2,1,1,1,6,1,1,1,6,2,0,1,1,4,1,8,2,6,1,1,2,6,6,1,6,6,6,6,6,6,1,1,8,1,1,2,2,7,7,9,2,1,1,1,4,2,2,4,2,2,2,6,0,10.6
28118,1,1,2,2,1,2,4,2,1,2,1,6,3,3,2,6,1,0,1,2,4,3,5,1,2,3,3,2,6,6,3,6,1,3,2,3,2,1,3,5,1,2,1,1,8,7,4,2,1,1,1,1,1,1,5,1,1,1,1,1,10.4117
28121,2,2,1,1,2,2,1,1,1,1,1,6,1,1,1,6,2,0,1,1,4,1,8,1,6,1,1,2,6,6,3,6,1,3,0,3,0,1,3,2,1,2,3,3,7,6,9,2,1,1,1,5,3,3,5,3,3,1,2,1,11.3271
28123,6,6,6,6,6,6,0,6,6,6,6,6,6,4,1,6,1,1,1,3,4,1,5,2,6,1,1,2,6,6,1,6,6,6,6,6,6,2,96,96,6,6,6,6,96,5,9,2,1,1,1,1,1,1,3,1,1,1,3,3,18.7256
28124,3,2,2,4,2,2,5,1,1,1,1,6,2,1,1,6,1,0,1,1,4,2,10,2,6,2,2,1,3,3,2,6,6,6,6,3,3,1,2,2,1,0,1,1,4,5,4,2,1,1,1,99,9,9,4,1,1,2,6,0,13.042
28125,3,1,2,2,5,1,6,6,6,6,6,6,6,3,1,5,2,0,1,1,1,2,4,2,6,2,2,2,6,6,3,6,2,0,0,0,0,1,6,7,1,9,1,1,3,3,1,2,1,1,1,2,1,1,4,1,1,2,6,0,10.1859
28127,6,6,6,6,6,6,1,2,1,2,2,3,1,3,1,2,1,1,1,3,4,2,1,2,2,2,2,1,2,1,2,6,6,3,3,3,3,3,96,96,6,6,6,6,96,5,4,1,2,1,1,5,2,2,4,1,1,2,6,0,14.2388
28129,1,2,2,2,2,2,3,1,1,1,1,6,2,1,1,6,2,0,1,3,4,2,5,2,2,2,2,1,4,4,2,6,6,6,6,4,4,1,1,2,1,2,2,2,5,4,4,2,3,1,3,5,2,2,5,2,2,2,6,0,15.3974
28131,2,2,1,1,1,2,1,2,1,2,2,2,1,3,1,3,1,0,1,1,3,3,6,2,2,3,3,2,6,6,3,4,1,6,6,6,6,1,3,5,1,3,2,2,8,8,3,2,1,1,1,4,1,1,5,1,1,2,6,0,11.2514
28133,3,1,2,2,2,2,1,2,1,1,1,6,3,2,1,6,1,2,3,3,2,1,8,1,6,1,1,1,3,0,2,6,6,6,6,3,0,1,1,3,1,1,2,2,6,4,2,1,2,2,2,4,3,3,4,3,3,2,6,0,15.5494
28135,1,2,1,2,1,2,1,2,1,2,1,6,1,1,1,6,1,3,1,2,4,1,9,2,6,1,1,1,4,4,3,6,6,6,6,4,4,1,7,4,1,1,2,2,6,6,9,2,1,1,1,3,1,1,3,1,1,1,1,1,14.3545
28139,6,6,6,6,6,6,2,1,1,2,2,2,1,1,1,6,2,0,3,1,2,2,1,2,6,2,3,2,6,6,2,6,6,6,6,6,6,2,96,96,6,6,6,6,96,5,2,2,1,2,2,2,1,1,5,2,1,2,6,0,32.2566
28142,3,6,6,6,6,6,1,1,1,1,2,4,3,1,1,2,2,0,1,2,4,2,4,2,2,2,2,2,6,6,1,6,6,6,6,6,6,1,1,8,1,6,6,6,96,3,4,1,3,1,1,6,3,3,6,3,3,2,6,0,10.5979
28143,1,2,2,2,2,1,6,6,6,6,6,6,6,1,1,3,1,0,1,2,1,2,5,2,2,2,3,2,6,6,2,6,6,6,6,6,6,1,7,5,1,3,3,2,6,7,1,2,1,1,1,6,3,1,5,2,1,2,6,0,10.8356
28144,1,2,1,3,2,2,1,2,1,1,1,6,2,3,1,6,1,0,1,1,3,3,10,2,2,3,3,1,4,0,3,2,6,6,6,4,0,1,1,3,1,2,1,1,8,99,3,1,1,1,3,2,1,1,2,1,1,2,6,0,11.2514
28148,3,2,2,2,4,2,3,1,1,2,2,3,3,3,1,3,2,0,3,1,2,2,6,2,1,2,2,1,1,2,3,6,1,6,6,1,2,1,4,3,1,1,1,1,3,2,2,2,1,2,2,5,2,2,5,2,2,2,6,0,33.437
28149,1,2,2,2,3,1,6,6,6,6,6,6,6,5,9,2,2,0,1,2,3,3,8,2,2,3,3,2,6,6,3,6,4,6,6,6,6,1,4,3,1,2,1,1,8,7,3,1,1,1,1,6,2,2,5,1,1,1,1,1,10.516
28153,1,2,2,3,1,1,6,6,6,6,6,6,6,1,1,3,2,2,1,4,4,1,7,2,3,3,1,1,4,4,3,6,1,6,6,4,4,1,6,2,1,1,1,2,5,6,9,2,1,1,1,5,3,3,5,3,3,1,2,1,13.1148
28154,1,2,2,1,2,1,6,6,6,6,6,6,6,1,1,2,1,2,1,3,4,3,9,2,2,3,3,1,4,0,3,6,2,3,3,4,3,1,7,4,2,3,2,2,2,2,4,2,1,1,1,99,9,9,2,1,1,1,1,1,9.9764
28155,1,2,1,2,2,1,6,6,6,6,6,6,6,3,1,1,1,0,3,1,2,1,9,2,1,1,1,2,6,6,1,6,6,6,6,6,6,1,1,3,1,1,2,2,5,5,2,1,1,1,3,2,1,1,2,1,1,2,6,0,17.2455
28158,3,2,1,2,1,1,6,6,6,6,6,6,6,3,1,3,2,0,2,1,2,1,4,2,6,1,2,2,6,6,1,6,6,6,6,6,6,1,6,7,2,0,1,1,2,2,2,2,1,2,2,3,1,1,4,2,1,2,6,0,18.035
28160,1,2,1,1,1,2,2,1,1,2,1,6,3,3,1,2,1,0,1,1,1,2,4,2,6,2,3,1,4,4,3,6,6,6,6,4,4,1,7,5,2,3,3,1,4,5,1,2,1,1,1,99,9,9,4,1,1,2,6,0,12.1596
28161,2,2,2,2,2,2,2,3,1,2,1,6,3,3,9,1,2,0,3,2,2,3,8,2,6,3,3,2,6,6,1,6,6,6,6,6,6,1,3,2,1,2,1,1,99,99,2,1,3,1,3,6,3,3,4,1,1,2,6,0,22.1149
28162,6,6,6,6,6,6,0,6,6,6,6,6,6,3,9,1,2,0,1,2,4,2,4,2,6,2,2,2,6,6,1,6,6,6,6,6,6,2,96,96,6,6,6,6,96,1,4,1,1,5,5,5,2,2,5,2,2,2,6,0,14.2388
28163,6,6,6,6,6,6,1,2,1,1,1,6,3,1,2,5,2,0,1,1,2,2,4,2,6,2,2,1,4,4,3,6,1,0,3,4,4,3,96,96,6,6,6,6,96,1,3,2,1,1,1,5,2,2,5,2,2,2,6,0,43.5549
28169,3,2,1,2,2,2,2,4,1,1,2,1,1,3,1,1,2,0,1,1,4,2,4,2,6,2,3,1,0,3,3,9,2,6,6,0,3,1,3,2,1,3,3,1,5,1,4,1,1,1,1,5,1,1,2,1,1,2,6,0,14.2388
28171,6,6,6,6,6,6,3,2,1,1,2,1,3,3,1,4,2,0,1,1,4,2,1,1,2,2,2,1,4,4,3,6,2,6,6,4,4,3,96,96,6,6,6,6,96,5,4,2,1,1,1,2,1,1,5,2,2,2,6,0,11.0243
28172,2,1,2,4,1,1,6,6,6,6,6,6,6,2,1,6,1,2,3,3,2,3,3,2,2,3,3,1,2,1,3,6,6,2,1,3,2,1,4,3,1,2,1,1,6,6,2,1,2,3,3,6,3,3,2,1,1,2,6,0,37.2919
28174,1,2,1,1,1,1,6,6,6,6,6,6,6,1,1,6,1,2,3,3,2,3,7,2,3,3,3,2,6,6,3,6,6,6,6,6,6,1,1,3,1,3,2,2,10,10,2,1,2,1,3,1,1,1,1,1,1,2,6,0,10.249
28175,1,1,1,1,1,1,6,6,6,6,6,6,6,1,1,6,1,2,1,3,4,3,1,2,3,3,3,1,0,0,3,6,6,0,0,0,0,1,5,5,1,3,2,1,10,10,4,2,1,1,1,6,3,2,3,1,1,1,1,1,10.3262
28176,3,2,2,1,2,2,1,1,1,2,1,6,3,3,1,5,1,0,3,2,2,3,3,2,2,3,3,1,3,0,2,6,6,6,6,3,0,1,6,2,1,2,1,1,5,4,2,2,1,2,2,3,1,1,3,1,1,1,2,1,13.9653
28177,1,2,1,1,1,1,6,6,6,6,6,6,6,1,1,6,1,0,1,4,4,3,1,2,2,3,3,2,6,6,1,6,6,6,6,6,6,1,5,5,1,2,1,1,10,10,4,2,1,1,1,6,3,3,1,1,1,2,6,0,10.6036
28178,1,2,2,1,4,1,6,6,6,6,6,6,6,1,1,6,1,0,1,2,4,2,9,2,6,2,2,2,6,6,3,6,3,3,3,3,3,1,7,4,1,0,1,1,6,8,4,2,1,1,1,2,1,1,2,1,1,1,2,1,10.8597
28179,1,2,2,1,1,2,2,2,2,1,6,6,2,3,1,3,1,1,2,2,2,2,5,2,1,2,2,1,3,3,3,6,6,6,6,3,3,1,3,2,1,2,2,2,7,7,2,2,1,2,2,2,1,1,2,1,1,2,6,0,35.7752
28180,1,2,2,2,1,1,6,6,6,6,6,6,6,4,9,6,1,1,1,2,4,2,1,2,6,2,2,2,6,6,3,2,3,6,6,6,6,1,5,5,1,2,2,2,7,8,4,2,1,1,1,5,2,2,5,2,2,2,6,0,10.376
28181,1,2,2,2,3,2,1,4,1,2,1,6,1,1,2,6,1,1,1,3,1,2,9,2,2,2,2,2,6,6,1,6,6,4,4,4,4,1,7,4,1,2,2,2,6,6,3,2,2,5,3,2,1,1,2,1,1,2,6,0,10.3268
28182,2,2,2,2,2,1,6,6,6,6,6,6,6,3,2,2,2,0,1,1,1,2,6,2,6,2,2,2,6,6,1,6,6,6,6,6,6,1,1,3,1,2,2,2,7,7,4,2,1,1,1,5,2,2,5,2,2,2,6,0,10.6607
28183,2,1,2,2,2,1,6,6,6,6,6,6,6,3,1,6,2,0,3,1,2,1,8,2,6,1,1,2,6,6,1,6,6,1,0,1,0,1,3,7,1,0,1,1,6,6,2,1,1,2,2,5,3,3,5,3,3,2,6,0,17.2455
28184,3,2,2,2,3,1,6,6,6,6,6,6,6,1,9,2,1,0,1,2,4,3,8,2,2,3,3,2,6,6,3,6,4,6,6,6,6,1,1,99,1,3,2,1,9,2,4,2,3,3,3,4,1,1,3,1,1,2,6,0,10.1781
28186,6,6,6,6,6,6,0,6,6,6,6,6,6,3,1,4,2,0,1,1,3,2,6,2,6,2,3,2,6,6,1,6,4,6,6,6,6,3,96,96,6,6,6,6,96,5,3,2,1,1,1,2,1,1,4,1,1,2,6,0,56.8409
28187,6,6,6,6,6,6,1,5,1,1,2,2,3,3,2,1,2,0,2,3,2,3,6,1,2,3,3,1,2,1,3,6,6,6,6,2,1,2,96,96,6,6,6,6,96,2,2,2,1,2,2,4,1,1,3,1,1,1,9,3,13.9653
28188,3,2,4,4,4,1,6,6,6,6,6,6,6,3,1,1,2,1,1,2,3,1,5,2,6,1,1,1,4,4,2,6,6,6,6,4,4,1,2,8,2,0,1,1,2,2,3,1,2,3,3,5,3,3,5,3,3,2,6,0,51.9627
28189,2,2,1,2,1,2,1,2,1,2,1,6,3,3,1,2,2,0,1,1,4,1,5,2,6,1,2,2,6,6,2,6,6,6,6,6,6,1,7,2,1,1,2,1,4,1,9,2,2,1,3,6,3,3,4,2,1,2,6,0,14.3545
28190,2,2,2,1,1,2,4,1,1,2,1,6,3,3,2,6,2,0,1,2,3,3,1,2,2,3,3,1,2,2,3,6,4,6,6,2,2,1,5,5,2,3,2,1,3,3,4,1,1,1,1,6,2,1,6,3,2,1,1,1,11.7664
28192,3,2,1,1,2,2,2,2,1,2,1,6,3,3,1,4,2,0,1,1,4,1,6,2,6,1,1,2,6,6,2,6,1,6,6,6,6,1,1,2,1,0,1,1,5,4,9,2,1,1,1,2,1,1,2,1,1,2,6,0,10.0726
28193,1,2,2,4,2,2,1,3,1,1,2,2,2,3,2,3,1,0,1,2,3,3,9,2,2,3,3,2,6,6,3,6,2,6,6,6,6,1,7,3,1,3,2,2,8,8,4,2,3,1,1,5,1,1,5,1,1,1,2,1,10.1448
28194,1,2,1,2,1,1,6,6,6,6,6,6,6,3,1,6,2,0,1,1,4,1,1,2,6,1,1,2,6,6,1,2,6,6,6,6,6,1,5,5,2,1,2,2,4,4,9,2,1,1,1,5,3,3,5,3,3,1,1,1,10.3435
28197,2,2,2,2,2,2,3,1,1,1,9,9,1,1,2,6,1,1,3,3,1,3,5,2,2,3,3,1,0,0,3,6,6,6,6,0,0,1,7,5,1,2,1,1,9,8,1,2,1,1,1,4,1,1,2,1,1,2,6,0,10.2892
28198,1,1,2,2,2,2,0,6,6,6,6,6,6,1,1,6,1,0,3,3,2,1,5,2,1,1,2,1,2,0,2,6,6,6,6,2,0,1,7,2,1,0,1,1,5,5,2,2,1,2,2,2,1,1,4,2,1,2,6,0,17.2455
28200,1,2,2,4,4,1,6,6,6,6,6,6,6,1,2,4,2,0,1,3,4,3,8,2,2,3,3,1,3,3,3,6,2,6,6,3,3,1,4,3,1,3,2,2,5,7,4,1,2,1,2,1,1,1,5,1,1,2,6,0,10.0541
28204,1,2,1,2,1,2,1,2,1,1,1,6,1,3,1,6,1,0,3,1,1,1,4,2,6,1,1,1,0,0,3,6,6,6,6,0,0,1,7,5,1,1,2,2,4,4,1,2,1,1,2,2,1,1,2,1,1,2,6,0,10.5234
28205,6,6,6,6,6,6,0,6,6,6,6,6,6,4,1,6,1,0,1,4,1,2,4,2,6,2,2,1,2,3,3,6,2,1,1,2,3,3,96,96,6,6,6,6,96,4,1,2,1,1,1,2,1,1,4,1,1,1,1,1,10.7928
28207,6,6,6,6,6,6,3,2,1,1,2,2,1,1,1,6,1,0,1,3,4,1,8,1,6,1,1,1,2,0,3,6,1,2,0,3,0,3,96,96,6,6,6,6,96,5,9,2,1,1,1,3,1,1,2,1,1,2,6,0,44.0902
28210,1,2,2,4,2,2,2,2,1,2,1,6,1,1,2,6,2,0,1,1,4,1,9,2,6,1,2,1,4,3,3,6,6,0,2,4,3,1,7,4,1,2,3,2,6,6,9,2,1,1,1,2,1,1,4,2,1,2,6,0,15.9668
28211,1,2,1,2,1,1,6,6,6,6,6,6,6,3,1,6,2,0,1,1,4,2,1,2,6,2,3,2,6,6,2,6,1,6,6,6,6,1,5,5,1,2,2,1,6,6,4,2,1,1,1,2,1,1,2,1,1,2,6,0,11.0901
28213,1,2,1,2,1,2,1,1,1,1,1,6,1,1,1,6,1,3,3,4,2,2,5,2,1,2,2,2,6,6,2,6,6,6,6,6,6,1,7,1,1,2,3,2,7,7,2,2,2,1,1,5,2,1,4,1,1,2,6,0,37.4128
28214,3,2,9,9,9,1,6,6,6,6,6,6,6,1,1,6,2,0,1,2,4,2,4,2,6,2,2,2,6,6,1,6,9,6,6,6,6,1,1,6,1,1,1,1,4,1,4,2,1,1,1,2,1,1,2,1,1,2,6,0,14.2388
28216,2,2,2,3,2,2,1,2,2,1,6,6,2,1,1,3,2,0,1,1,4,1,5,2,6,1,1,2,6,6,1,6,6,6,6,6,6,1,2,7,1,1,2,2,4,3,9,1,9,3,3,5,3,3,6,3,3,2,6,0,28.536
28217,1,2,2,4,2,2,4,2,1,1,1,6,1,1,1,4,2,0,1,1,3,1,4,2,6,1,1,1,3,3,3,6,6,6,6,3,3,1,7,5,1,1,2,2,5,4,3,1,1,1,1,2,1,1,6,3,3,2,6,0,51.9627
28219,1,2,2,3,1,2,4,1,1,1,1,6,1,3,1,4,1,0,3,1,3,1,10,2,6,1,1,2,6,6,3,6,1,6,6,6,6,1,6,7,1,9,1,1,5,99,3,2,1,1,1,2,1,1,3,1,1,1,1,1,71.1378
28222,6,6,6,6,6,6,0,6,6,6,6,6,6,1,1,6,1,2,1,3,4,2,5,2,6,2,2,2,6,6,1,6,6,6,6,6,6,3,96,96,6,6,6,6,96,99,4,1,2,3,3,1,1,1,1,1,1,2,6,0,15.3974
28223,1,2,2,2,2,1,6,6,6,6,6,6,6,3,1,1,2,0,1,1,4,1,8,2,6,1,1,1,2,1,3,6,1,6,6,2,1,1,2,3,1,1,2,2,4,5,9,1,2,3,3,5,3,3,99,9,9,2,6,0,10.3435
28224,1,1,2,4,2,1,6,6,6,6,6,6,6,3,1,4,1,0,1,2,1,1,8,2,6,1,1,1,3,2,1,9,9,9,9,9,9,1,6,8,1,1,2,2,4,5,1,1,2,1,3,1,1,1,1,1,1,2,6,0,11.4527
28225,1,2,2,2,2,1,6,6,6,6,6,6,6,3,1,6,1,1,3,2,2,2,9,2,2,2,2,1,3,3,3,6,6,4,4,4,4,1,7,4,1,2,2,2,10,7,2,2,1,2,2,5,1,1,5,1,1,2,6,0,35.7752
28226,6,6,6,6,6,6,1,3,1,2,2,2,3,1,1,2,2,0,2,1,2,2,8,2,2,2,2,2,6,6,3,6,9,6,6,6,6,2,96,96,6,6,6,6,96,2,2,1,9,2,5,4,1,1,3,1,1,1,1,1,139.0465
28229,2,1,2,3,3,1,6,6,6,6,6,6,6,3,1,5,2,0,3,1,2,2,4,2,1,2,2,1,9,0,3,6,6,0,0,9,0,1,6,7,1,0,1,1,4,3,2,2,1,5,2,5,2,2,4,1,1,1,2,2,37.4128
28230,6,6,6,6,6,6,4,2,1,1,2,1,3,3,1,2,2,0,1,1,4,2,6,1,6,2,2,2,6,6,3,3,6,6,6,6,6,2,96,96,6,6,6,6,96,6,4,2,1,1,1,2,1,1,4,1,1,1,1,1,11.0931
28231,2,2,2,2,2,1,6,6,6,6,6,6,6,1,1,6,2,0,3,2,4,3,6,2,2,3,3,2,6,6,2,6,4,6,6,6,6,1,7,3,1,3,2,2,9,9,4,1,1,1,1,5,1,1,5,1,1,2,6,0,9.9764
28232,6,6,6,6,6,6,0,6,6,6,6,6,6,4,1,3,1,2,1,3,4,1,4,2,9,1,2,2,6,6,1,6,6,6,6,6,6,3,96,96,6,6,6,6,96,2,9,2,1,1,1,2,1,1,2,1,1,1,1,1,15.9668
28233,3,1,2,2,1,1,6,6,6,6,6,6,6,1,1,4,1,0,3,1,4,2,4,1,6,2,3,1,2,0,3,6,6,1,0,2,0,1,3,2,1,0,1,1,6,5,4,1,2,1,3,5,2,1,5,2,1,1,1,1,14.2388
28235,3,2,2,2,2,2,3,2,1,2,1,6,3,3,1,1,2,0,1,1,3,1,5,2,6,1,1,2,6,6,1,6,6,6,6,6,6,1,6,7,1,0,1,1,5,2,3,9,9,5,1,4,2,2,99,9,9,2,6,0,103.9255
28237,1,2,2,4,4,1,6,6,6,6,6,6,6,3,1,6,1,0,3,3,2,3,9,2,2,3,3,1,4,4,3,6,1,3,3,4,4,1,5,4,1,3,2,2,5,3,2,2,1,2,2,2,1,1,2,1,1,2,6,0,10.8636
28238,6,6,6,6,6,6,1,2,2,2,6,6,3,3,1,1,2,0,1,1,3,1,8,2,6,1,1,2,6,6,1,6,6,6,6,6,6,3,96,96,6,6,6,6,96,99,3,2,1,1,1,5,3,3,99,9,9,2,6,0,51.9627
28239,1,2,2,3,2,1,6,6,6,6,6,6,6,3,1,2,2,0,1,1,3,1,8,1,6,1,1,1,1,0,2,6,6,2,0,3,0,1,3,3,1,1,2,2,6,6,3,1,1,1,1,2,1,1,2,1,1,1,1,1,51.9627
28243,1,2,2,4,4,1,6,6,6,6,6,6,6,1,2,6,2,0,1,4,4,3,1,2,1,3,3,2,6,6,1,6,6,6,6,6,6,1,7,5,1,1,1,1,10,10,4,2,1,1,1,1,1,1,1,1,1,2,6,0,10.1781
28246,1,6,6,6,6,6,0,6,6,6,6,6,6,1,1,6,1,1,1,4,4,1,8,2,2,2,1,1,0,0,3,6,6,0,0,0,0,1,4,3,2,6,6,6,96,3,9,2,1,1,1,6,3,3,6,3,3,1,2,2,44.0902
28253,1,2,2,3,2,2,1,1,1,1,1,6,1,3,1,2,2,0,3,1,2,1,6,2,6,1,1,2,6,6,1,6,6,6,6,6,6,1,1,3,1,1,2,2,5,6,2,2,1,2,2,6,3,3,6,3,3,1,1,1,16.1185
28256,1,2,2,3,2,1,6,6,6,6,6,6,6,3,1,1,2,0,1,2,4,2,1,2,2,2,2,2,6,6,1,6,6,6,6,6,6,1,7,1,1,1,1,1,4,5,4,1,9,5,3,5,3,3,5,3,3,2,6,0,16.9716
28259,6,6,6,6,6,6,2,1,1,2,1,6,3,3,1,3,2,0,3,1,2,1,5,2,6,1,2,1,0,2,3,6,6,6,6,0,2,3,96,96,6,6,6,6,96,3,2,2,1,2,2,4,2,1,5,3,2,2,6,0,16.1185
28260,2,1,2,2,3,2,3,1,1,1,1,6,1,1,1,6,1,1,1,3,4,1,5,2,2,2,1,2,6,6,1,6,6,6,6,6,6,1,1,2,1,1,1,2,6,3,9,2,2,1,1,3,1,1,99,9,9,1,1,1,14.3545
28265,1,2,2,2,2,1,6,6,6,6,6,6,6,3,1,3,2,0,3,1,2,2,5,2,6,2,2,2,6,6,2,6,6,6,6,6,6,1,4,3,1,2,2,2,8,8,2,2,1,4,4,6,3,3,5,2,2,1,2,2,37.4128
28266,2,1,1,2,2,2,3,2,1,1,2,1,3,3,1,4,2,0,1,1,1,2,4,2,6,2,2,1,3,0,3,3,1,6,6,3,0,1,1,5,1,1,1,1,4,99,1,2,1,1,1,3,1,1,2,1,1,2,6,0,12.1596
28267,1,1,2,4,2,1,6,6,6,6,6,6,6,1,1,3,2,0,1,1,1,1,8,2,6,1,1,2,6,6,3,6,6,3,1,3,1,1,1,9,1,0,1,1,4,4,1,2,1,1,1,2,1,1,4,2,2,2,6,0,11.2922
28272,2,2,3,3,2,1,6,6,6,6,6,6,6,1,9,6,1,1,1,3,3,1,9,2,6,1,1,2,6,6,1,6,6,6,6,6,6,1,99,99,1,1,2,2,99,99,3,1,9,1,1,2,1,1,2,1,1,2,6,0,88.6146
28275,3,2,2,4,2,2,2,2,1,1,1,6,3,3,2,3,2,0,1,1,3,2,3,2,6,2,2,2,6,6,3,3,6,6,6,6,6,1,4,3,1,3,3,3,5,99,4,2,1,1,1,2,1,1,2,1,1,2,6,0,63.2254
28286,1,6,6,6,6,6,1,2,1,1,1,6,1,3,2,1,2,0,1,1,1,2,9,2,6,2,3,2,6,6,3,6,6,4,0,4,0,1,7,4,2,6,6,6,96,1,4,2,1,1,1,2,1,1,5,2,1,2,6,0,10.6607
28290,1,2,2,2,4,1,6,6,6,6,6,6,6,1,1,5,2,0,1,1,4,1,4,2,6,1,2,1,4,4,3,6,6,3,3,4,4,1,7,5,1,2,3,2,5,3,9,2,1,1,1,1,1,1,2,1,1,1,1,1,27.461
28291,6,6,6,6,6,6,2,4,1,1,2,2,2,5,9,6,1,0,1,3,4,1,5,2,6,1,1,2,6,6,1,6,6,9,9,9,9,2,96,96,6,6,6,6,96,99,3,9,3,1,1,99,9,9,99,9,9,2,6,0,10.1574
28292,1,2,1,1,1,2,1,2,2,1,6,6,1,3,2,3,1,0,3,2,4,2,9,2,2,2,2,1,4,4,3,6,4,4,4,4,4,1,7,4,1,2,2,2,10,8,4,2,1,1,1,6,3,3,2,1,1,2,6,0,12.801
28294,1,2,3,4,2,2,1,1,1,1,1,6,1,1,1,6,1,0,1,4,4,2,5,2,1,2,2,2,6,6,1,6,6,6,6,6,6,1,1,2,1,2,2,2,8,10,4,2,1,1,1,2,1,1,2,1,1,2,6,0,18.0577
28295,6,6,6,6,6,6,2,2,1,2,1,6,3,1,2,6,1,0,3,3,2,3,3,2,2,3,3,2,6,6,3,6,4,6,6,6,6,3,96,96,6,6,6,6,96,4,4,2,1,1,1,99,9,9,6,3,2,1,1,1,14.4764
28296,1,2,2,2,3,2,2,2,1,1,1,6,1,1,1,6,2,0,3,4,2,3,5,2,2,3,3,2,6,6,3,6,6,1,1,1,1,1,6,1,1,0,1,1,7,7,4,2,1,1,1,6,3,3,5,1,1,2,6,0,16.9526
28298,1,2,2,2,2,2,0,6,6,6,6,6,6,1,1,4,2,0,1,2,3,1,8,2,2,2,1,1,0,2,2,6,6,6,6,0,2,1,1,9,1,2,2,3,10,10,3,2,1,1,1,5,3,3,5,3,3,2,6,0,51.9627
28299,3,1,3,1,2,2,0,6,6,6,6,6,6,3,1,2,2,0,1,1,1,2,3,1,6,2,2,2,6,6,1,6,6,6,6,6,6,1,2,7,2,0,1,1,2,2,1,2,1,1,1,1,1,1,3,1,1,2,6,0,10.8678
28300,2,2,2,2,3,2,3,2,1,1,1,6,1,3,1,1,2,0,3,1,3,1,8,2,6,1,1,2,6,6,2,3,6,6,6,6,6,1,6,8,2,0,1,1,2,3,3,1,1,2,2,5,3,3,6,3,3,1,2,3,51.9627
28301,2,1,1,3,2,2,1,2,1,2,2,2,2,3,2,5,1,0,1,1,3,3,4,2,2,3,3,2,6,6,3,3,3,6,6,6,6,1,3,5,2,2,1,1,1,99,1,2,1,1,1,6,1,1,5,1,1,1,1,1,10.516
28304,6,6,6,6,6,6,3,2,1,2,1,6,3,3,2,5,2,0,3,1,4,2,4,2,6,2,2,2,6,6,3,3,1,2,2,2,2,2,96,96,6,6,6,6,96,5,4,2,1,1,1,5,1,1,2,1,1,2,6,0,10.376
28306,1,1,4,4,2,1,6,6,6,6,6,6,6,3,1,2,2,0,1,1,4,2,8,1,6,2,2,2,6,6,3,4,2,6,6,6,6,1,1,3,1,2,2,2,8,8,4,2,1,1,1,5,2,2,5,2,2,2,6,0,10.1392
28308,1,2,1,2,2,1,6,6,6,6,6,6,6,3,1,2,1,2,1,3,4,3,9,2,2,3,3,1,0,0,2,6,6,6,6,0,0,1,7,4,1,2,1,1,10,10,4,2,1,1,1,2,1,1,4,1,1,2,6,0,10.6074
28309,1,6,6,6,6,6,1,1,1,2,2,1,3,5,9,1,1,0,1,1,4,2,5,2,6,2,2,1,9,4,1,9,9,9,9,9,9,1,4,2,1,6,6,6,96,8,4,1,3,1,1,2,1,1,6,3,3,2,6,0,11.1206
28311,2,2,1,3,2,2,1,2,1,2,2,3,3,3,1,1,2,0,1,2,4,2,4,2,6,2,2,2,6,6,1,6,6,4,9,4,9,1,1,8,1,2,2,2,9,10,4,1,9,5,3,99,9,9,5,2,2,2,6,0,11.035
28312,1,2,1,4,1,1,6,6,6,6,6,6,6,1,1,6,1,1,1,2,4,3,10,2,2,3,3,1,3,0,3,1,1,6,6,3,0,1,5,5,1,3,2,2,5,5,4,2,1,1,1,5,1,1,2,1,1,2,6,0,14.1703
