PUMFID,LFW_400,LFW_410,LFW_420A,LFW_420B,LFW_420C,LFW_440,AFT_P010,AFT_020,AFT_P040,AFT_050,AFT_070,AFT_080,AFT_090,BEF_P140,BEF_P150,BEF_160,DEM_P010,DEM_P030,DEM_P140,GRADAGEP,REG_INST,CERTLEVP,PGMCIPAP,COOP,PREVLEVP,HLOSGRDP,HLOSINTP,STULOANS,OWESLGD,OWEGVIN,SRCFUND,RESP,SCHOLAR,DBTOTGRD,DBTOTINT,DBTALGRD,DBTALINT,LFSTAT,LFCINDP,LFCOCCP,LFWFTPT1,JOBQLEVP,JOBQLGRD,JOBQLINT,JOBINCP,PERSINCP,REG_RESP,VISBMINP,CTZSHIPP,LHOMEP,LFIRSTP,FATHEDP,FATEDGRD,FATEDINT,MOTHEDP,MOTEDGRD,MOTEDINT,DDIS_FL,DTYPERP,DCLASSP,WTPF
29304,2,1,4,2,2,1,6,6,6,6,6,6,6,3,2,4,2,0,1,1,1,2,5,2,6,2,2,1,4,4,3,6,1,1,0,4,4,1,3,7,1,2,2,2,7,7,1,2,1,1,1,1,1,1,2,1,1,2,6,0,10.1859
29305,1,2,2,2,1,1,6,6,6,6,6,6,6,1,2,6,1,2,3,4,1,2,9,2,1,2,2,2,6,6,1,6,6,6,6,6,6,1,7,1,1,1,1,1,8,8,1,2,1,2,2,3,1,1,2,1,1,2,6,0,10.2769
29308,2,2,3,3,3,2,2,4,2,2,6,6,3,4,1,2,1,1,1,1,4,1,8,2,6,1,1,2,6,6,1,6,6,6,6,6,6,1,1,8,1,0,1,1,6,5,9,1,2,3,3,6,3,3,5,3,3,2,6,0,14.3545
29311,6,6,6,6,6,6,1,4,1,1,1,6,1,1,1,6,1,2,1,1,3,1,5,2,6,1,2,1,3,2,2,6,6,6,6,3,2,2,96,96,6,6,6,6,96,1,3,2,1,1,1,4,2,1,2,1,1,2,6,0,71.1378
29312,3,1,1,2,2,1,6,6,6,6,6,6,6,1,1,6,1,0,1,1,4,1,4,2,6,1,1,1,3,3,2,6,6,6,6,3,3,1,2,7,1,9,1,1,3,3,9,2,1,1,1,3,1,1,4,2,2,2,6,0,13.1148
29313,1,2,1,4,1,1,6,6,6,6,6,6,6,1,1,6,1,2,1,4,4,3,1,2,2,3,3,2,6,6,1,6,6,6,6,6,6,1,5,1,1,2,1,1,10,10,4,2,1,1,1,2,1,1,2,1,1,2,6,0,10.515
29314,1,2,1,1,1,2,3,1,1,1,2,2,2,3,1,6,1,0,1,1,4,2,10,2,6,2,2,2,6,6,3,2,1,6,6,6,6,1,1,9,1,2,2,2,4,4,4,2,1,1,1,5,2,2,5,2,2,2,6,0,10.2788
29315,3,1,3,5,1,1,6,6,6,6,6,6,6,1,1,6,1,0,1,4,4,1,7,2,3,3,1,2,6,6,1,6,6,6,6,6,6,1,4,8,1,0,1,1,5,7,9,1,2,1,3,1,1,1,1,1,1,1,2,3,23.5885
29317,2,2,1,1,1,2,3,4,1,2,2,3,2,3,1,3,2,0,1,1,1,2,4,2,2,2,3,1,3,3,3,6,3,0,0,3,3,1,5,5,1,9,1,1,99,99,2,1,1,1,1,6,3,2,6,3,1,2,6,0,10.6607
29318,1,2,2,4,1,2,1,2,1,1,1,6,1,3,1,1,2,0,1,1,3,2,7,2,6,2,2,1,9,0,3,9,6,6,6,9,0,1,6,3,1,2,2,2,8,8,3,1,2,5,3,6,3,3,6,3,3,1,1,1,54.3093
29320,6,6,6,6,6,6,0,6,6,6,6,6,6,3,9,2,1,0,1,2,4,3,8,2,6,3,3,2,6,6,2,6,4,6,6,6,6,3,96,96,6,6,6,6,96,4,4,1,9,3,3,4,1,1,4,1,1,2,6,0,11.6819
29324,6,6,6,6,6,6,3,2,1,1,2,1,3,3,1,2,2,0,1,1,3,2,6,2,6,2,3,1,0,4,3,6,1,4,4,4,4,3,96,96,6,6,6,6,96,1,3,2,1,1,1,5,2,1,5,2,1,2,6,0,54.3093
29325,1,1,2,2,1,1,6,6,6,6,6,6,6,1,1,6,1,0,1,2,4,3,5,2,2,3,3,2,6,6,1,6,6,6,6,6,6,1,4,1,1,2,1,1,7,7,4,2,1,1,1,2,1,1,1,1,1,2,6,0,10.1062
